,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
0,4567,44,1.0,36.8476300590569,1231,5.0,5,9.0,1970,0.036122292,B,B,24,4378,0,12312,1,1,B
1,5925,62,1.0,42.49390721216511,1231,10.0,7,17.0,2017,0.072157581,B,B,2,629,1,12312,0,0,A
2,960,27,2.0,59.46367829288154,1231,9.0,19,19.0,1977,0.211401214,B,B,9,1892,0,12312,0,1,B
3,3848,23,3.0,49.64602982741851,1231,6.0,2,2.0,1965,0.014072961,B,B,2,475,0,12312,0,0,B
4,746,74,1.0,53.83705552291424,1231,1.0,8,17.0,1977,0.309479124,B,B,35,7715,4,12312,0,6,B
5,868,38,3.0,87.13999445192246,1231,10.0,4,23.0,2011,0.060753049,B,B,15,2787,2,12312,0,7,B
6,672,62,1.0,46.26945562647919,1231,11.0,8,17.0,2014,0.072157581,B,B,2,629,1,12312,0,0,A
7,2471,2,2.0,48.172968708932885,1231,6.0,4,9.0,1974,0.0,B,B,33,7425,1,12312,2,5,B
8,4510,1,1.0,43.15376113882693,1231,9.0,10,17.0,2014,0.007122317,B,B,1,264,0,12312,0,1,B
9,8354,62,2.0,62.5937866412943,1231,10.0,1,16.0,1981,0.002211665,B,B,39,7614,3,12312,1,5,A
10,6393,8,1.0,41.49650853339136,1231,7.0,4,17.0,2009,0.43788524,B,B,23,5735,3,12312,0,5,B
11,13270,9,3.0,80.59947151905445,1231,1.0,4,1.0,1977,0.161531741,B,B,25,5648,1,12312,2,4,B
12,5250,96,4.0,87.77638168144794,1231,10.0,25,24.0,2014,0.041116354,B,B,53,14892,4,12312,1,4,B
13,16751,74,1.0,54.6141699426221,1231,1.0,8,17.0,1977,0.075778755,B,B,6,1437,3,12312,0,2,B
14,11404,27,1.0,44.41551017635499,1231,1.0,14,1.0,1977,0.072157581,B,B,2,629,1,12312,0,0,A
15,10588,113,2.0,71.82875388902875,1231,10.0,6,22.0,2004,0.050755569,B,B,24,5469,1,12312,0,1,B
16,14925,22,2.0,61.41358310533283,1231,1.0,13,17.0,1977,0.118537385,B,B,30,6207,1,12312,1,0,B
17,6791,1,3.0,72.02327542455551,1231,1.0,4,24.0,1977,0.007122317,B,B,1,264,0,12312,0,1,B
18,16097,57,1.0,44.323796217038144,1231,12.0,4,16.0,2007,0.133215333,B,B,49,11395,3,12312,3,4,A
19,16428,170,3.0,77.0287905358431,1231,10.0,13,17.0,1990,0.21843974,B,B,21,4472,6,12312,4,7,A
20,6945,53,3.0,85.18661187100972,1231,11.0,11,12.0,2017,0.049637257,B,B,34,7759,0,12312,1,3,B
21,3190,9,2.0,64.86239597220232,1231,1.0,7,1.0,1977,0.161531741,B,B,25,5648,1,12312,2,4,B
22,15709,48,3.0,86.48993470329461,1231,1.0,24,1.0,2015,0.041124634,B,B,46,9515,5,12312,1,10,B
23,13155,41,2.0,48.4407146464437,1231,6.0,4,9.0,1979,0.394094211,B,B,3,662,0,12312,0,0,B
